# frequency (Hz), effective injected noise temperature at LNA (K)
6.550000000000000000e+09,1.448284525996672301e+01
6.551000000000000000e+09,1.446754728254956035e+01
6.552000000000000000e+09,1.430289242981841369e+01
6.553000000000000000e+09,1.429266745505836411e+01
6.554000000000000000e+09,1.428271750964455578e+01
6.555000000000000000e+09,1.430068972713526421e+01
6.556000000000000000e+09,1.441197654053644328e+01
6.557000000000000000e+09,1.449075788218898708e+01
6.558000000000000000e+09,1.447539844008377941e+01
6.559000000000000000e+09,1.461455776076250856e+01
6.560000000000000000e+09,1.462001032549689228e+01
6.561000000000000000e+09,1.446032478825566159e+01
6.562000000000000000e+09,1.452109341261802911e+01
6.563000000000000000e+09,1.457429391965156640e+01
6.564000000000000000e+09,1.472385665566417856e+01
6.565000000000000000e+09,1.470139325417639498e+01
6.566000000000000000e+09,1.472173395864183476e+01
6.567000000000000000e+09,1.487672585998940633e+01
6.568000000000000000e+09,1.494269267013309843e+01
6.569000000000000000e+09,1.496302078344483277e+01
6.570000000000000000e+09,1.499414406259029420e+01
6.571000000000000000e+09,1.496699196160494694e+01
6.572000000000000000e+09,1.499833101963838544e+01
6.573000000000000000e+09,1.510102904578783978e+01
6.574000000000000000e+09,1.523914932804807165e+01
6.575000000000000000e+09,1.519347782097302968e+01
6.576000000000000000e+09,1.523535356177264077e+01
6.577000000000000000e+09,1.530957467886662471e+01
6.578000000000000000e+09,1.524185661255225455e+01
6.579000000000000000e+09,1.532315041436179115e+01
6.580000000000000000e+09,1.557667479010662248e+01
6.581000000000000000e+09,1.564795492121375275e+01
6.582000000000000000e+09,1.566839584887425474e+01
6.583000000000000000e+09,1.586373898501202007e+01
6.584000000000000000e+09,1.595201583044747906e+01
6.585000000000000000e+09,1.614001845713455907e+01
6.586000000000000000e+09,1.635713607545656600e+01
6.587000000000000000e+09,1.628326615844963499e+01
6.588000000000000000e+09,1.632548962684299454e+01
6.589000000000000000e+09,1.643837353927848710e+01
6.590000000000000000e+09,1.661458702522216413e+01
6.591000000000000000e+09,1.662201320034979801e+01
6.592000000000000000e+09,1.670451157668740905e+01
6.593000000000000000e+09,1.668092805668307221e+01
6.594000000000000000e+09,1.687125127912064215e+01
6.595000000000000000e+09,1.712553116921195340e+01
6.596000000000000000e+09,1.711570015117960963e+01
6.597000000000000000e+09,1.724609009864131792e+01
6.598000000000000000e+09,1.731925146400568849e+01
6.599000000000000000e+09,1.739856488336283746e+01
6.600000000000000000e+09,1.758963200758439882e+01
6.601000000000000000e+09,1.746777982612897517e+01
6.602000000000000000e+09,1.779663888899456481e+01
6.603000000000000000e+09,1.796165858991473385e+01
6.604000000000000000e+09,1.799230424299624076e+01
6.605000000000000000e+09,1.802359313556294751e+01
6.606000000000000000e+09,1.804572987598835709e+01
6.607000000000000000e+09,1.791966980467798010e+01
6.608000000000000000e+09,1.802359252855283955e+01
6.609000000000000000e+09,1.819264490294416703e+01
6.610000000000000000e+09,1.831857157927133528e+01
6.611000000000000000e+09,1.841467757381198567e+01
6.612000000000000000e+09,1.838707469225683155e+01
6.613000000000000000e+09,1.840638109764422836e+01
6.614000000000000000e+09,1.833842723417994591e+01
6.615000000000000000e+09,1.831255490823684795e+01
6.616000000000000000e+09,1.842772096156826933e+01
6.617000000000000000e+09,1.843874119286026314e+01
6.618000000000000000e+09,1.850301717432758153e+01
6.619000000000000000e+09,1.857054976152373627e+01
6.620000000000000000e+09,1.863132171556759431e+01
6.621000000000000000e+09,1.878796067830786853e+01
6.622000000000000000e+09,1.885271735169530416e+01
6.623000000000000000e+09,1.874404287439345751e+01
6.624000000000000000e+09,1.882862355040087721e+01
6.625000000000000000e+09,1.871733598972916468e+01
6.626000000000000000e+09,1.886960338275638094e+01
6.627000000000000000e+09,1.898148152935758048e+01
6.628000000000000000e+09,1.884233675545436881e+01
6.629000000000000000e+09,1.871366899387093952e+01
6.630000000000000000e+09,1.873473812592885679e+01
6.631000000000000000e+09,1.882595672228711692e+01
6.632000000000000000e+09,1.872125658753816424e+01
6.633000000000000000e+09,1.863652436755529607e+01
6.634000000000000000e+09,1.863327995188046771e+01
6.635000000000000000e+09,1.862620985558010034e+01
6.636000000000000000e+09,1.859851788667867822e+01
6.637000000000000000e+09,1.854417853166695807e+01
6.638000000000000000e+09,1.867247689282061174e+01
6.639000000000000000e+09,1.863873626920734239e+01
6.640000000000000000e+09,1.854085565710646222e+01
6.641000000000000000e+09,1.857388925588854534e+01
6.642000000000000000e+09,1.858669437711390060e+01
6.643000000000000000e+09,1.850117183809673804e+01
6.644000000000000000e+09,1.838015980364092172e+01
6.645000000000000000e+09,1.837926657753374116e+01
6.646000000000000000e+09,1.842643181872119840e+01
6.647000000000000000e+09,1.845513636334493413e+01
6.648000000000000000e+09,1.850503000666493847e+01
6.649000000000000000e+09,1.853136315033313508e+01
6.650000000000000000e+09,1.843836772296609183e+01
6.651000000000000000e+09,1.831433350649842851e+01
6.652000000000000000e+09,1.816254763711620512e+01
6.653000000000000000e+09,1.815119723489107173e+01
6.654000000000000000e+09,1.843228745121881218e+01
6.655000000000000000e+09,1.849892195777606219e+01
6.656000000000000000e+09,1.852537109311826669e+01
6.657000000000000000e+09,1.849031680744836592e+01
6.658000000000000000e+09,1.846867656255392376e+01
6.659000000000000000e+09,1.854045029403206968e+01
6.660000000000000000e+09,1.858780173387222590e+01
6.661000000000000000e+09,1.850763427552780627e+01
6.662000000000000000e+09,1.860282397799359444e+01
6.663000000000000000e+09,1.863575054405150411e+01
6.664000000000000000e+09,1.864903884464185069e+01
6.665000000000000000e+09,1.843375428566641006e+01
6.666000000000000000e+09,1.844385396441242619e+01
6.667000000000000000e+09,1.842791384039816194e+01
6.668000000000000000e+09,1.858903028101178734e+01
6.669000000000000000e+09,1.853841665139496797e+01
6.670000000000000000e+09,1.853738633870388242e+01
6.671000000000000000e+09,1.853336236796016578e+01
6.672000000000000000e+09,1.850496243743467062e+01
6.673000000000000000e+09,1.855388522918727290e+01
6.674000000000000000e+09,1.853254624130890704e+01
6.675000000000000000e+09,1.868252319736923539e+01
6.676000000000000000e+09,1.867776206631654645e+01
6.677000000000000000e+09,1.858948540912557235e+01
6.678000000000000000e+09,1.846356028032781182e+01
6.679000000000000000e+09,1.852932280120144526e+01
6.680000000000000000e+09,1.846779257675308372e+01
6.681000000000000000e+09,1.854000321029175780e+01
6.682000000000000000e+09,1.854595959115614789e+01
6.683000000000000000e+09,1.846643433915379262e+01
6.684000000000000000e+09,1.851806586467520788e+01
6.685000000000000000e+09,1.863653447409382125e+01
6.686000000000000000e+09,1.852310260091886107e+01
6.687000000000000000e+09,1.860736687130417977e+01
6.688000000000000000e+09,1.857446992609706626e+01
6.689000000000000000e+09,1.846134555495936524e+01
6.690000000000000000e+09,1.834951006005589136e+01
6.691000000000000000e+09,1.829256989350017193e+01
6.692000000000000000e+09,1.828430755874791203e+01
6.693000000000000000e+09,1.829962736140134894e+01
6.694000000000000000e+09,1.816928675990739350e+01
6.695000000000000000e+09,1.818129558654608502e+01
6.696000000000000000e+09,1.818865335369824265e+01
6.697000000000000000e+09,1.823221252563908479e+01
6.698000000000000000e+09,1.829082474598439489e+01
6.699000000000000000e+09,1.825552246496094710e+01
6.700000000000000000e+09,1.820584845941651508e+01
6.701000000000000000e+09,1.814241635537278796e+01
6.702000000000000000e+09,1.818887858622160536e+01
6.703000000000000000e+09,1.824096171804529831e+01
6.704000000000000000e+09,1.808131142671064140e+01
6.705000000000000000e+09,1.805446308249150889e+01
6.706000000000000000e+09,1.811510799105955982e+01
