# frequency (Hz), effective injected noise temperature at LNA (K)
6.550000000000000000e+09,1.564410700920240060e+01
6.551000000000000000e+09,1.558575355631002424e+01
6.552000000000000000e+09,1.555838146764604346e+01
6.553000000000000000e+09,1.555856705267885332e+01
6.554000000000000000e+09,1.533110840018308352e+01
6.555000000000000000e+09,1.539731006684299075e+01
6.556000000000000000e+09,1.533382170582748927e+01
6.557000000000000000e+09,1.535345014155399213e+01
6.558000000000000000e+09,1.526488178798700801e+01
6.559000000000000000e+09,1.531177926068268391e+01
6.560000000000000000e+09,1.525353352166472121e+01
6.561000000000000000e+09,1.526731916018096058e+01
6.562000000000000000e+09,1.506247095216625098e+01
6.563000000000000000e+09,1.500746589698226785e+01
6.564000000000000000e+09,1.497744986277032808e+01
6.565000000000000000e+09,1.497432213065719964e+01
6.566000000000000000e+09,1.502658933599100521e+01
6.567000000000000000e+09,1.508490486375579565e+01
6.568000000000000000e+09,1.488848876049732439e+01
6.569000000000000000e+09,1.499989477541045346e+01
6.570000000000000000e+09,1.499967187252077849e+01
6.571000000000000000e+09,1.488620164099536680e+01
6.572000000000000000e+09,1.500194028691115022e+01
6.573000000000000000e+09,1.495280887901162714e+01
6.574000000000000000e+09,1.485346835874582894e+01
6.575000000000000000e+09,1.490602430992554162e+01
6.576000000000000000e+09,1.495560999319904738e+01
6.577000000000000000e+09,1.489728060919026120e+01
6.578000000000000000e+09,1.494113556468141724e+01
6.579000000000000000e+09,1.516234917223516732e+01
6.580000000000000000e+09,1.526485586255782323e+01
6.581000000000000000e+09,1.511316982602679104e+01
6.582000000000000000e+09,1.521783515239323492e+01
6.583000000000000000e+09,1.516234348705533819e+01
6.584000000000000000e+09,1.534191941688058591e+01
6.585000000000000000e+09,1.557417584052552684e+01
6.586000000000000000e+09,1.571517343595378691e+01
6.587000000000000000e+09,1.569304807369744026e+01
6.588000000000000000e+09,1.567645311255955676e+01
6.589000000000000000e+09,1.591164528212495100e+01
6.590000000000000000e+09,1.606637184756716863e+01
6.591000000000000000e+09,1.614698949581543275e+01
6.592000000000000000e+09,1.629501422142020317e+01
6.593000000000000000e+09,1.642053625557919361e+01
6.594000000000000000e+09,1.650341537692877125e+01
6.595000000000000000e+09,1.652324814943384013e+01
6.596000000000000000e+09,1.669016128978086044e+01
6.597000000000000000e+09,1.676824945903723574e+01
6.598000000000000000e+09,1.683351824025656640e+01
6.599000000000000000e+09,1.708043720290905298e+01
6.600000000000000000e+09,1.727099939599116851e+01
6.601000000000000000e+09,1.734760219590037877e+01
6.602000000000000000e+09,1.743698343057401701e+01
6.603000000000000000e+09,1.754056050677714040e+01
6.604000000000000000e+09,1.769958849614990015e+01
6.605000000000000000e+09,1.779591053909983600e+01
6.606000000000000000e+09,1.797302932992292313e+01
6.607000000000000000e+09,1.818014443592169016e+01
6.608000000000000000e+09,1.843874612223878273e+01
6.609000000000000000e+09,1.838273517284066827e+01
6.610000000000000000e+09,1.832442046424949922e+01
6.611000000000000000e+09,1.834378408511570058e+01
6.612000000000000000e+09,1.841591398740101226e+01
6.613000000000000000e+09,1.851454453349222717e+01
6.614000000000000000e+09,1.864617058338561151e+01
6.615000000000000000e+09,1.857501906661926228e+01
6.616000000000000000e+09,1.862742954969155562e+01
6.617000000000000000e+09,1.876062679405389133e+01
6.618000000000000000e+09,1.862451481713605972e+01
6.619000000000000000e+09,1.864953144180182676e+01
6.620000000000000000e+09,1.871044981039187860e+01
6.621000000000000000e+09,1.875219107732021939e+01
6.622000000000000000e+09,1.872320456172408853e+01
6.623000000000000000e+09,1.868808577530805337e+01
6.624000000000000000e+09,1.869280313116766479e+01
6.625000000000000000e+09,1.859900690498353981e+01
6.626000000000000000e+09,1.856250812987090626e+01
6.627000000000000000e+09,1.860926267653836419e+01
6.628000000000000000e+09,1.861354024943825891e+01
6.629000000000000000e+09,1.865383478696669783e+01
6.630000000000000000e+09,1.865499161584850185e+01
6.631000000000000000e+09,1.862282837776974986e+01
6.632000000000000000e+09,1.857922063679806968e+01
6.633000000000000000e+09,1.852642495846623660e+01
6.634000000000000000e+09,1.852655965638419389e+01
6.635000000000000000e+09,1.840271780628644649e+01
6.636000000000000000e+09,1.843092444662818252e+01
6.637000000000000000e+09,1.859446609984854604e+01
6.638000000000000000e+09,1.859128122597078914e+01
6.639000000000000000e+09,1.867569792644549409e+01
6.640000000000000000e+09,1.869431424668265151e+01
6.641000000000000000e+09,1.863840358041967704e+01
6.642000000000000000e+09,1.862436143728434956e+01
6.643000000000000000e+09,1.869053817145658059e+01
6.644000000000000000e+09,1.859978362078464897e+01
