# frequency (Hz), effective injected noise temperature at LNA (K)
5.045000000000000000e+09,6.435391655110237252e+00
5.044000000000000000e+09,6.028871906038034467e+00
5.043000000000000000e+09,5.773327295305492157e+00
5.042000000000000000e+09,5.474710488652021922e+00
5.041000000000000000e+09,5.345279413968967219e+00
5.040000000000000000e+09,5.274920646353947973e+00
5.039000000000000000e+09,5.115352257754636867e+00
5.038000000000000000e+09,5.038705357094841020e+00
5.037000000000000000e+09,4.848839542127365121e+00
5.036000000000000000e+09,4.634581774217110706e+00
5.035000000000000000e+09,4.611068294156581260e+00
5.034000000000000000e+09,4.523810002714043321e+00
5.033000000000000000e+09,4.470051286225356080e+00
5.032000000000000000e+09,4.298062030149964130e+00
5.031000000000000000e+09,4.297366982701532834e+00
5.030000000000000000e+09,4.392557697744265965e+00
5.029000000000000000e+09,4.457438923700436817e+00
5.028000000000000000e+09,4.529805833540407889e+00
5.027000000000000000e+09,4.460372994734612462e+00
5.026000000000000000e+09,4.732696713335386107e+00
5.025000000000000000e+09,4.664120666863013298e+00
5.024000000000000000e+09,4.526984120288801705e+00
5.023000000000000000e+09,4.616972833484254579e+00
5.022000000000000000e+09,4.623694847385664275e+00
5.021000000000000000e+09,4.672386802402272110e+00
5.020000000000000000e+09,4.769280200800210423e+00
5.019000000000000000e+09,4.699421261904362268e+00
5.018000000000000000e+09,4.590689607289874630e+00
5.017000000000000000e+09,4.514418572453806178e+00
5.016000000000000000e+09,4.685995524440244253e+00
5.015000000000000000e+09,4.811169938456629325e+00
5.014000000000000000e+09,4.701627196160458766e+00
5.013000000000000000e+09,4.672305696182135648e+00
5.012000000000000000e+09,4.633678829658762766e+00
5.011000000000000000e+09,4.742498435543012647e+00
5.010000000000000000e+09,4.615612091860683108e+00
5.009000000000000000e+09,4.681943792547301086e+00
5.008000000000000000e+09,4.705413940052068256e+00
5.007000000000000000e+09,4.626341537461641451e+00
5.006000000000000000e+09,4.677877569098328081e+00
5.005000000000000000e+09,4.669016118421140504e+00
5.004000000000000000e+09,4.647085165036770604e+00
5.003000000000000000e+09,4.738839293299605515e+00
5.002000000000000000e+09,4.670350210323221063e+00
5.001000000000000000e+09,4.422471942097530473e+00
5.000000000000000000e+09,4.385205271503139102e+00
4.999000000000000000e+09,4.501105664852630639e+00
4.998000000000000000e+09,4.679354041152066657e+00
4.997000000000000000e+09,4.513304800655390636e+00
4.996000000000000000e+09,4.647289917988672414e+00
4.995000000000000000e+09,4.592475103512057899e+00
4.994000000000000000e+09,4.745566230268408958e+00
4.993000000000000000e+09,4.629807519725275711e+00
4.992000000000000000e+09,4.722454330395635225e+00
4.991000000000000000e+09,4.570248317243539304e+00
4.990000000000000000e+09,4.582295000292987197e+00
4.989000000000000000e+09,4.626694595894946360e+00
4.988000000000000000e+09,4.740895168271634930e+00
4.987000000000000000e+09,4.768720631382862507e+00
4.986000000000000000e+09,4.681821954942677166e+00
4.985000000000000000e+09,4.625324034348722080e+00
4.984000000000000000e+09,4.727781174831577005e+00
4.983000000000000000e+09,4.715536685601918521e+00
4.982000000000000000e+09,4.840882584073014527e+00
4.981000000000000000e+09,4.873140523860499229e+00
4.980000000000000000e+09,4.717637133932853999e+00
4.979000000000000000e+09,4.667636627901643465e+00
4.978000000000000000e+09,4.727188228008259330e+00
4.977000000000000000e+09,4.690156829571506591e+00
4.976000000000000000e+09,4.755935557456737683e+00
4.975000000000000000e+09,4.695523443179112633e+00
4.974000000000000000e+09,4.747298859543221283e+00
4.973000000000000000e+09,4.725521466629530210e+00
4.972000000000000000e+09,4.846034838951339907e+00
4.971000000000000000e+09,4.763400334690544469e+00
4.970000000000000000e+09,4.773503109230816221e+00
4.969000000000000000e+09,4.961389134580230120e+00
4.968000000000000000e+09,4.863031044864243313e+00
4.967000000000000000e+09,4.869566032865478178e+00
4.966000000000000000e+09,4.787442696216331228e+00
4.965000000000000000e+09,4.811349709889313431e+00
4.964000000000000000e+09,4.699315507632064737e+00
4.963000000000000000e+09,4.814410434045456100e+00
4.962000000000000000e+09,4.743742967004152433e+00
4.961000000000000000e+09,4.618183972137899218e+00
