# frequency (Hz), effective injected noise temperature at LNA (K)
5.045000000000000000e+09,5.554799611692914141e+00
5.044000000000000000e+09,5.449732611197092069e+00
5.043000000000000000e+09,5.561937075323982071e+00
5.042000000000000000e+09,5.526646556649140507e+00
5.041000000000000000e+09,5.583513539439977080e+00
5.040000000000000000e+09,5.410448844151346748e+00
5.039000000000000000e+09,5.332183980488565567e+00
5.038000000000000000e+09,5.051509738537006911e+00
5.037000000000000000e+09,4.851962672549475997e+00
5.036000000000000000e+09,4.469991961561248672e+00
5.035000000000000000e+09,4.057023363295144236e+00
5.034000000000000000e+09,3.752521145189689378e+00
5.033000000000000000e+09,3.435275213163265562e+00
5.032000000000000000e+09,3.105218087216414347e+00
5.031000000000000000e+09,3.126979081359024804e+00
5.030000000000000000e+09,3.136105764953526887e+00
5.029000000000000000e+09,3.318006867864980336e+00
5.028000000000000000e+09,3.273856616809979414e+00
5.027000000000000000e+09,3.315387367516379413e+00
5.026000000000000000e+09,3.277090973036365540e+00
5.025000000000000000e+09,3.357883762320881260e+00
5.024000000000000000e+09,3.455507223677457773e+00
5.023000000000000000e+09,3.648265066676188439e+00
5.022000000000000000e+09,3.987390515410297098e+00
5.021000000000000000e+09,4.169166902992671453e+00
5.020000000000000000e+09,4.555263315174016725e+00
5.019000000000000000e+09,4.790286598565373311e+00
5.018000000000000000e+09,5.048317624942413318e+00
5.017000000000000000e+09,5.445068125499858525e+00
5.016000000000000000e+09,5.679742305871982921e+00
5.015000000000000000e+09,6.020097610618051931e+00
5.014000000000000000e+09,6.159420908752025525e+00
5.013000000000000000e+09,6.344729292796756681e+00
5.012000000000000000e+09,6.451679026946834483e+00
5.011000000000000000e+09,6.360549944319529914e+00
5.010000000000000000e+09,6.431541572327702738e+00
5.009000000000000000e+09,6.510106545473263395e+00
5.008000000000000000e+09,6.589400614327900030e+00
5.007000000000000000e+09,6.465436875205696765e+00
5.006000000000000000e+09,6.254147008923666817e+00
5.005000000000000000e+09,6.140057631023566387e+00
5.004000000000000000e+09,5.979892246625325924e+00
5.003000000000000000e+09,5.946385427664878875e+00
5.002000000000000000e+09,5.674625441778687218e+00
5.001000000000000000e+09,5.466328637076600216e+00
5.000000000000000000e+09,5.055200450467978612e+00
4.999000000000000000e+09,4.837305226368542321e+00
4.998000000000000000e+09,4.614178751487585828e+00
4.997000000000000000e+09,4.286551115254027877e+00
4.996000000000000000e+09,3.962169795732336297e+00
4.995000000000000000e+09,3.815554624533078254e+00
4.994000000000000000e+09,3.791159392196817635e+00
4.993000000000000000e+09,3.766364523584940116e+00
4.992000000000000000e+09,3.752378445478413482e+00
4.991000000000000000e+09,3.650915987975068333e+00
4.990000000000000000e+09,3.736653153332383681e+00
4.989000000000000000e+09,3.975996701782989362e+00
4.988000000000000000e+09,4.299983882561789983e+00
4.987000000000000000e+09,4.466164204424970308e+00
4.986000000000000000e+09,4.685238927137518772e+00
4.985000000000000000e+09,5.013649713064680213e+00
4.984000000000000000e+09,5.378285814340443949e+00
4.983000000000000000e+09,5.567578919784068603e+00
4.982000000000000000e+09,5.672202448961527921e+00
4.981000000000000000e+09,5.851376441648127980e+00
4.980000000000000000e+09,5.975886583663410079e+00
4.979000000000000000e+09,5.952237072132135154e+00
4.978000000000000000e+09,5.999484125209150420e+00
4.977000000000000000e+09,6.244662180539592100e+00
4.976000000000000000e+09,6.079046630365823489e+00
4.975000000000000000e+09,6.032564413141130899e+00
4.974000000000000000e+09,5.909188799894465660e+00
4.973000000000000000e+09,5.793651783404911271e+00
4.972000000000000000e+09,5.486931645841337968e+00
4.971000000000000000e+09,5.311026036153990049e+00
4.970000000000000000e+09,5.012083459153117815e+00
4.969000000000000000e+09,4.804384157538365230e+00
4.968000000000000000e+09,4.502194077896604085e+00
4.967000000000000000e+09,3.981621319359149425e+00
4.966000000000000000e+09,3.791090076681740584e+00
4.965000000000000000e+09,3.628747087856126541e+00
4.964000000000000000e+09,3.496115104297928156e+00
4.963000000000000000e+09,3.311813464287538977e+00
4.962000000000000000e+09,3.105198937595304187e+00
4.961000000000000000e+09,2.983616273328479451e+00
4.960000000000000000e+09,2.886457399077286823e+00
4.959000000000000000e+09,2.887530204823377744e+00
4.958000000000000000e+09,3.049446893238368261e+00
4.957000000000000000e+09,3.182713390038287571e+00
4.956000000000000000e+09,3.288853995368185679e+00
4.955000000000000000e+09,3.589154180274817918e+00
4.954000000000000000e+09,3.999078883940555329e+00
4.953000000000000000e+09,4.209344403815450164e+00
4.952000000000000000e+09,4.495532894552027869e+00
4.951000000000000000e+09,4.516315226301074404e+00
4.950000000000000000e+09,4.957240417462031701e+00
4.949000000000000000e+09,5.269249364122870816e+00
4.948000000000000000e+09,5.608185346096348667e+00
4.947000000000000000e+09,5.780214149099336396e+00
4.946000000000000000e+09,5.807223904790731694e+00
4.945000000000000000e+09,6.094407496171513117e+00
4.944000000000000000e+09,6.377161976603886728e+00
4.943000000000000000e+09,6.340922982658668161e+00
4.942000000000000000e+09,6.482515146334463907e+00
4.941000000000000000e+09,6.358094687616443252e+00
4.940000000000000000e+09,6.123689046470190078e+00
4.939000000000000000e+09,6.045860704893414095e+00
4.938000000000000000e+09,5.878001113335727723e+00
4.937000000000000000e+09,5.512677890286909133e+00
4.936000000000000000e+09,5.302024478847258138e+00
4.935000000000000000e+09,5.183211855411386182e+00
4.934000000000000000e+09,4.966045451693190671e+00
4.933000000000000000e+09,4.606241869540355083e+00
4.932000000000000000e+09,4.541456555157481034e+00
4.931000000000000000e+09,4.348877984742571812e+00
4.930000000000000000e+09,4.097972319320362544e+00
4.929000000000000000e+09,3.951188928134939715e+00
4.928000000000000000e+09,3.984733079107883214e+00
4.927000000000000000e+09,4.032036579027945322e+00
4.926000000000000000e+09,4.053309119266700122e+00
