# frequency (Hz), effective injected noise temperature at LNA (K)
6.550000000000000000e+09,4.528883977525168802e+00
6.551000000000000000e+09,4.401528925289298400e+00
6.552000000000000000e+09,4.319149778557374475e+00
6.553000000000000000e+09,4.248076785668331468e+00
6.554000000000000000e+09,4.140118900862063356e+00
6.555000000000000000e+09,4.159060004960423385e+00
6.556000000000000000e+09,4.164981011148967127e+00
6.557000000000000000e+09,4.096018532269710022e+00
6.558000000000000000e+09,3.936746673738909408e+00
6.559000000000000000e+09,3.902740154895823821e+00
6.560000000000000000e+09,3.843538248668991741e+00
6.561000000000000000e+09,3.784576245508674219e+00
6.562000000000000000e+09,3.545303805408693165e+00
6.563000000000000000e+09,3.451646263676451554e+00
6.564000000000000000e+09,3.506306235313147113e+00
6.565000000000000000e+09,3.357114442200298754e+00
6.566000000000000000e+09,3.324419095926486989e+00
6.567000000000000000e+09,3.438939666507366155e+00
6.568000000000000000e+09,3.417742131822706142e+00
6.569000000000000000e+09,3.455436751618421454e+00
6.570000000000000000e+09,3.268740695073915958e+00
6.571000000000000000e+09,3.227262926257338904e+00
6.572000000000000000e+09,3.307258716229952711e+00
6.573000000000000000e+09,3.352325666177378594e+00
6.574000000000000000e+09,3.284831308706159803e+00
6.575000000000000000e+09,3.237633665121379067e+00
6.576000000000000000e+09,3.259595941419746623e+00
6.577000000000000000e+09,3.217989895517860077e+00
6.578000000000000000e+09,3.273853432295041443e+00
6.579000000000000000e+09,3.315157570398980624e+00
6.580000000000000000e+09,3.368433880978500383e+00
6.581000000000000000e+09,3.426676869240068868e+00
6.582000000000000000e+09,3.416967379780984970e+00
6.583000000000000000e+09,3.303186979002475709e+00
6.584000000000000000e+09,3.530692652050561264e+00
6.585000000000000000e+09,3.824189279488081183e+00
6.586000000000000000e+09,3.868233432864045085e+00
6.587000000000000000e+09,3.998384274382914327e+00
6.588000000000000000e+09,4.091597073795398387e+00
6.589000000000000000e+09,4.006065598918141291e+00
6.590000000000000000e+09,4.073288960280962101e+00
6.591000000000000000e+09,4.084284361355798865e+00
6.592000000000000000e+09,4.086104000079799903e+00
6.593000000000000000e+09,4.156359298900369481e+00
6.594000000000000000e+09,4.316965920096961895e+00
6.595000000000000000e+09,4.224910970702438817e+00
6.596000000000000000e+09,4.373986173002137434e+00
6.597000000000000000e+09,4.443030057927231269e+00
6.598000000000000000e+09,4.527530873193768457e+00
6.599000000000000000e+09,4.643901221715552197e+00
6.600000000000000000e+09,4.764495134721272507e+00
6.601000000000000000e+09,4.789974562231350319e+00
6.602000000000000000e+09,4.783285153286001901e+00
6.603000000000000000e+09,4.729372683039585468e+00
6.604000000000000000e+09,4.801196619720428771e+00
6.605000000000000000e+09,4.883012857156472819e+00
6.606000000000000000e+09,4.920464615351747284e+00
6.607000000000000000e+09,4.918721321776729383e+00
6.608000000000000000e+09,5.069367900333446642e+00
6.609000000000000000e+09,5.053764288548308059e+00
6.610000000000000000e+09,4.913802903063157146e+00
6.611000000000000000e+09,4.954479732548904281e+00
6.612000000000000000e+09,4.810531147040933320e+00
6.613000000000000000e+09,4.829370069630158468e+00
6.614000000000000000e+09,4.824992397435252656e+00
6.615000000000000000e+09,4.880295356812709429e+00
6.616000000000000000e+09,4.850299740675851012e+00
6.617000000000000000e+09,4.830569244516439653e+00
6.618000000000000000e+09,4.691374340193306125e+00
6.619000000000000000e+09,4.572096641393017080e+00
6.620000000000000000e+09,4.551973036644838544e+00
6.621000000000000000e+09,4.510346159981097003e+00
6.622000000000000000e+09,4.460254150970627052e+00
6.623000000000000000e+09,4.258618656892181775e+00
6.624000000000000000e+09,4.181641381990516493e+00
6.625000000000000000e+09,4.223040629277122093e+00
6.626000000000000000e+09,4.366529951161638223e+00
6.627000000000000000e+09,4.382481755903086196e+00
6.628000000000000000e+09,4.293174125111619333e+00
6.629000000000000000e+09,4.168513459470034377e+00
6.630000000000000000e+09,4.163041207539166066e+00
6.631000000000000000e+09,4.132500043410189505e+00
6.632000000000000000e+09,3.968712004277577421e+00
6.633000000000000000e+09,4.030807472419098758e+00
6.634000000000000000e+09,4.091760011275496822e+00
6.635000000000000000e+09,4.005985236804477267e+00
6.636000000000000000e+09,3.971908086967758322e+00
6.637000000000000000e+09,3.984445007588348631e+00
6.638000000000000000e+09,3.934875249441375900e+00
6.639000000000000000e+09,4.022043533234139545e+00
6.640000000000000000e+09,4.221066376860150626e+00
6.641000000000000000e+09,4.331814915627830942e+00
6.642000000000000000e+09,4.106321576721882138e+00
6.643000000000000000e+09,4.119781307304762663e+00
6.644000000000000000e+09,4.146975308833589224e+00
6.645000000000000000e+09,4.271591991473670191e+00
6.646000000000000000e+09,4.296246129246327428e+00
6.647000000000000000e+09,4.390096562987594098e+00
6.648000000000000000e+09,4.435254768541611270e+00
6.649000000000000000e+09,4.556369424268069679e+00
6.650000000000000000e+09,4.508444917108789696e+00
6.651000000000000000e+09,4.567276140186820044e+00
6.652000000000000000e+09,4.793759013331140295e+00
6.653000000000000000e+09,4.821203019863276040e+00
6.654000000000000000e+09,4.963884937396599639e+00
6.655000000000000000e+09,5.085218993557674594e+00
6.656000000000000000e+09,5.218456539811484163e+00
6.657000000000000000e+09,5.301469646999365182e+00
6.658000000000000000e+09,5.294694712651434543e+00
6.659000000000000000e+09,5.115483306330247615e+00
6.660000000000000000e+09,5.143965525916215142e+00
6.661000000000000000e+09,5.430124014719609704e+00
6.662000000000000000e+09,5.560132042159025900e+00
6.663000000000000000e+09,5.527475828499788690e+00
6.664000000000000000e+09,5.420494566369981726e+00
6.665000000000000000e+09,5.387912360773839282e+00
6.666000000000000000e+09,5.462627289047816248e+00
6.667000000000000000e+09,5.387104316490038514e+00
6.668000000000000000e+09,5.618350183586898083e+00
6.669000000000000000e+09,5.527526024262527926e+00
6.670000000000000000e+09,5.540228495625825644e+00
6.671000000000000000e+09,5.597770862938773462e+00
