# frequency (Hz), effective injected noise temperature at LNA (K)
5.045000000000000000e+09,2.680492417430673413e+01
5.044000000000000000e+09,2.571528154090515272e+01
5.043000000000000000e+09,2.484460050450371682e+01
5.042000000000000000e+09,2.394384679686950790e+01
5.041000000000000000e+09,2.357654553437991751e+01
5.040000000000000000e+09,2.300412220772351191e+01
5.039000000000000000e+09,2.241581224683365292e+01
5.038000000000000000e+09,2.199486410103639855e+01
5.037000000000000000e+09,2.175050940151199086e+01
5.036000000000000000e+09,2.127656216578064630e+01
5.035000000000000000e+09,2.090744515136557879e+01
5.034000000000000000e+09,2.066793423683488129e+01
5.033000000000000000e+09,2.052088186789872282e+01
5.032000000000000000e+09,2.014615023188584075e+01
5.031000000000000000e+09,1.981518103796146590e+01
5.030000000000000000e+09,1.971525838248997786e+01
5.029000000000000000e+09,1.950786243226224315e+01
5.028000000000000000e+09,1.938087764397117496e+01
5.027000000000000000e+09,1.917915122997251842e+01
5.026000000000000000e+09,1.911287824256184820e+01
5.025000000000000000e+09,1.920310269884514298e+01
5.024000000000000000e+09,1.898358353111505892e+01
5.023000000000000000e+09,1.905378984850403867e+01
5.022000000000000000e+09,1.886719486670409651e+01
5.021000000000000000e+09,1.887717183534117282e+01
5.020000000000000000e+09,1.907397816442424698e+01
5.019000000000000000e+09,1.944960277291431794e+01
5.018000000000000000e+09,1.930094233586159191e+01
5.017000000000000000e+09,1.918426565263250438e+01
5.016000000000000000e+09,1.917277173151639147e+01
5.015000000000000000e+09,1.933814898197694276e+01
5.014000000000000000e+09,1.919267804276610434e+01
5.013000000000000000e+09,1.916236391476019207e+01
5.012000000000000000e+09,1.929519063543550317e+01
5.011000000000000000e+09,1.955687447733183149e+01
5.010000000000000000e+09,1.955425407506162117e+01
5.009000000000000000e+09,1.978077302408441085e+01
5.008000000000000000e+09,1.974090682162636767e+01
5.007000000000000000e+09,1.955863045958544433e+01
5.006000000000000000e+09,1.942150750977788221e+01
5.005000000000000000e+09,1.951556950169927518e+01
5.004000000000000000e+09,1.942946329113767945e+01
5.003000000000000000e+09,1.955120018394369197e+01
5.002000000000000000e+09,1.951051634474175955e+01
5.001000000000000000e+09,1.937204090313103677e+01
5.000000000000000000e+09,1.950278939518979371e+01
4.999000000000000000e+09,1.955501066538789701e+01
4.998000000000000000e+09,1.951945784219324764e+01
4.997000000000000000e+09,1.926037581346309935e+01
4.996000000000000000e+09,1.934089899132766277e+01
4.995000000000000000e+09,1.927518260406270656e+01
4.994000000000000000e+09,1.908903831190983169e+01
4.993000000000000000e+09,1.906069945520405895e+01
4.992000000000000000e+09,1.911841346190949764e+01
4.991000000000000000e+09,1.887223674719533051e+01
4.990000000000000000e+09,1.879530623056670890e+01
4.989000000000000000e+09,1.883596494731619941e+01
4.988000000000000000e+09,1.884062480993360111e+01
4.987000000000000000e+09,1.880687514595851439e+01
4.986000000000000000e+09,1.868523489108808633e+01
4.985000000000000000e+09,1.856435462600532560e+01
4.984000000000000000e+09,1.870973329022001508e+01
4.983000000000000000e+09,1.881660583806205977e+01
4.982000000000000000e+09,1.918298992703492445e+01
4.981000000000000000e+09,1.925747023487356557e+01
4.980000000000000000e+09,1.920250473788608758e+01
4.979000000000000000e+09,1.928095877623081833e+01
4.978000000000000000e+09,1.943411973762096068e+01
4.977000000000000000e+09,1.945240339824835019e+01
4.976000000000000000e+09,1.952739197317021080e+01
4.975000000000000000e+09,1.963783939520060073e+01
4.974000000000000000e+09,1.973322994386448670e+01
4.973000000000000000e+09,1.964196975912327048e+01
4.972000000000000000e+09,1.989614150553356353e+01
4.971000000000000000e+09,1.991513955681911341e+01
4.970000000000000000e+09,2.007020102855432242e+01
4.969000000000000000e+09,2.029383299794669426e+01
4.968000000000000000e+09,2.012659552059933787e+01
4.967000000000000000e+09,2.013610609571922794e+01
4.966000000000000000e+09,2.024753781245453865e+01
4.965000000000000000e+09,2.030451128431430163e+01
4.964000000000000000e+09,1.998466716761453199e+01
4.963000000000000000e+09,1.993264513290657192e+01
4.962000000000000000e+09,1.988586440989504922e+01
4.961000000000000000e+09,1.980496388007063047e+01
4.960000000000000000e+09,1.973023473049035204e+01
4.959000000000000000e+09,1.973161229461635457e+01
4.958000000000000000e+09,1.970603249816996083e+01
4.957000000000000000e+09,1.955427701018409437e+01
4.956000000000000000e+09,1.920473737817751214e+01
4.955000000000000000e+09,1.892931453914501105e+01
4.954000000000000000e+09,1.888841709327572005e+01
4.953000000000000000e+09,1.895551129656794842e+01
4.952000000000000000e+09,1.911388886598484760e+01
4.951000000000000000e+09,1.881224721054940119e+01
4.950000000000000000e+09,1.855250027193403639e+01
4.949000000000000000e+09,1.854798578728473046e+01
4.948000000000000000e+09,1.852126242056615979e+01
4.947000000000000000e+09,1.840909040842633715e+01
4.946000000000000000e+09,1.833741390545860384e+01
4.945000000000000000e+09,1.833553877320437664e+01
4.944000000000000000e+09,1.840937489757173751e+01
4.943000000000000000e+09,1.829517953962606214e+01
4.942000000000000000e+09,1.845823041280215193e+01
4.941000000000000000e+09,1.845285930313124823e+01
4.940000000000000000e+09,1.855098308036127719e+01
4.939000000000000000e+09,1.867107335925885536e+01
4.938000000000000000e+09,1.883722236069884559e+01
4.937000000000000000e+09,1.909143359900217263e+01
4.936000000000000000e+09,1.922466812087475319e+01
4.935000000000000000e+09,1.927457277343357589e+01
4.934000000000000000e+09,1.928596481518127348e+01
4.933000000000000000e+09,1.943628166008041092e+01
4.932000000000000000e+09,1.927007388558905632e+01
4.931000000000000000e+09,1.930457610615287933e+01
4.930000000000000000e+09,1.963340373109888048e+01
4.929000000000000000e+09,1.974390625623408368e+01
4.928000000000000000e+09,1.973669894295251481e+01
4.927000000000000000e+09,1.965730146710855308e+01
4.926000000000000000e+09,1.965256200547855769e+01
4.925000000000000000e+09,1.986930375663776260e+01
4.924000000000000000e+09,1.999054423249174306e+01
4.923000000000000000e+09,1.993233112855506306e+01
4.922000000000000000e+09,1.994270852161601226e+01
4.921000000000000000e+09,1.966524160824015155e+01
4.920000000000000000e+09,1.967926194133841022e+01
4.919000000000000000e+09,1.968145909679212480e+01
4.918000000000000000e+09,1.968241279136186961e+01
4.917000000000000000e+09,1.958750266619858849e+01
